token_symbol,token_mint,protocol,venue_type,tvl_usd,volume_usd,pool_id,pool_name
USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,Orca,dex,1680634.5409444412,48917.1691415676,94BpFoyri4uTT55NFSHKYNFyUMtoWXEisMA4LK7nTKPU,USDu/USDC
PST,59obFNBzyTBGowrkif5uK7ojS58vsuWz3ZCvg6tfZAGw,Orca,dex,1678077.1673771385,994120.893668422,FCdB84kbytrT8JHsWLrWxPoquetmtcF1NZw7LYcgrQJE,PST/USDC
USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,Orca,dex,1678077.1673771385,994120.893668422,FCdB84kbytrT8JHsWLrWxPoquetmtcF1NZw7LYcgrQJE,PST/USDC
SOL,So11111111111111111111111111111111111111112,Orca,dex,1361986.2394811506,3715418.03243003,6a3m2EgFFKfsFuQtP4LJJXPcAe3TQYXNyHUjjZpUxYgd,SOL/JLP
JLP,27G8MtK7VtTcCHkpASjSDdkWWYfoqT6ggEuKidVJidD4,Orca,dex,1361986.2394811506,3715418.03243003,6a3m2EgFFKfsFuQtP4LJJXPcAe3TQYXNyHUjjZpUxYgd,SOL/JLP
USDG,2u1tszSeqZ3qBWF3uNGPFc8TzMk2tdiwknnRMWGWjGWH,Orca,dex,1257369.3391300784,96053.121981998,9goWMLg5ZxayhTinjtfNQLCZg2VBzdwERqHqP5tYSP9Z,USDG/syrupUSDC
syrupUSDC,AvZZF1YaZDziPY2RCK4oJrRVrbN3mTD9NL24hPeaZeUj,Orca,dex,1257369.3391300784,96053.121981998,9goWMLg5ZxayhTinjtfNQLCZg2VBzdwERqHqP5tYSP9Z,USDG/syrupUSDC
eUSX,3ThdFZQKM6kRyVGLG48kaPg5TRMhYMKY1iCRa9xop1WC,Orca,dex,1176679.385092465,1337594.66071151,AUr5EVRwGDsKB2EeS1V63ncjHXDNRDLVfBP47qNvPoVf,eUSX/USX
USX,6FrrzDk5mQARGc1TDYoyVnSyRdds1t4PbtohCD6p3tgG,Orca,dex,1176679.385092465,1337594.66071151,AUr5EVRwGDsKB2EeS1V63ncjHXDNRDLVfBP47qNvPoVf,eUSX/USX
SOL,So11111111111111111111111111111111111111112,Orca,dex,1169248.0518591246,123066.523827457,FAqh648xeeaTqL7du49sztp9nfj5PjRQrfvaMccyd9cz,SOL/PENGU
PENGU,2zMMhcVQEXDtdE6vsFS7S7D5oUodfJHE8vd1gnBouauv,Orca,dex,1169248.0518591246,123066.523827457,FAqh648xeeaTqL7du49sztp9nfj5PjRQrfvaMccyd9cz,SOL/PENGU
SOL,So11111111111111111111111111111111111111112,Orca,dex,1121111.4666931788,1856165.30930047,BofA2ViUSudPBTUms2KRuG6AHNeMawjNfwqTJDgx5BKW,SOL/PUMP
PUMP,pumpCmXqMfrsAkQ5r49WcJnRayYRqmXz6ae8H7H9Dfn,Orca,dex,1121111.4666931788,1856165.30930047,BofA2ViUSudPBTUms2KRuG6AHNeMawjNfwqTJDgx5BKW,SOL/PUMP
USDG,2u1tszSeqZ3qBWF3uNGPFc8TzMk2tdiwknnRMWGWjGWH,Orca,dex,1072364.2203116715,568283.820111076,EbGwM46wxy7EYuwhYrLN1UQPpG15FoEamQvzdMPJLwP6,USDG/xBTC
xBTC,CtzPWv73Sn1dMGVU3ZtLv9yWSyUAanBni19YWDaznnkn,Orca,dex,1072364.2203116715,568283.820111076,EbGwM46wxy7EYuwhYrLN1UQPpG15FoEamQvzdMPJLwP6,USDG/xBTC
USDG,2u1tszSeqZ3qBWF3uNGPFc8TzMk2tdiwknnRMWGWjGWH,Orca,dex,930736.2574998133,14021.5830937115,J6h5bf3iohBXtsRNRFAqFc5FeBCh3yAjxXGuiE1sTc5Q,USDG/USX
USX,6FrrzDk5mQARGc1TDYoyVnSyRdds1t4PbtohCD6p3tgG,Orca,dex,930736.2574998133,14021.5830937115,J6h5bf3iohBXtsRNRFAqFc5FeBCh3yAjxXGuiE1sTc5Q,USDG/USX
SOL,So11111111111111111111111111111111111111112,Orca,dex,889215.717939176,38192.9752687031,3XLkRVg69AgwKAbnSjJpm3PB4QgVeXFEjiXfw5shWMBT,SOL/PSOL
PSOL,pSo1f9nQXWgXibFtKf7NWYxb5enAM4qfP6UJSiXRQfL,Orca,dex,889215.717939176,38192.9752687031,3XLkRVg69AgwKAbnSjJpm3PB4QgVeXFEjiXfw5shWMBT,SOL/PSOL
cbBTC,cbbtcf3aa214zXHbiAZQwf4122FBYbraNdFqgw4iMij,Orca,dex,735470.9926074172,3658703.7468907,4v8ufj8Hj7UvFgtofQJAtzUud5xomwZfEqfCTHZ4wM72,cbBTC/WBTC
WBTC,3NZ9JMVBmGAqocybic2c7LQCJScmgsAZ6vQqTDzcqmJh,Orca,dex,735470.9926074172,3658703.7468907,4v8ufj8Hj7UvFgtofQJAtzUud5xomwZfEqfCTHZ4wM72,cbBTC/WBTC
SOL,So11111111111111111111111111111111111111112,Orca,dex,721433.4906968371,1871153.50233712,C9U2Ksk6KKWvLEeo5yUQ7Xu46X7NzeBJtd9PBfuXaUSM,SOL/Fartcoin 
Fartcoin ,9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump,Orca,dex,721433.4906968371,1871153.50233712,C9U2Ksk6KKWvLEeo5yUQ7Xu46X7NzeBJtd9PBfuXaUSM,SOL/Fartcoin 
JLP,27G8MtK7VtTcCHkpASjSDdkWWYfoqT6ggEuKidVJidD4,Orca,dex,711944.538915297,1358065.22704303,HD8i7qr1hd9ida6sN71RbkLxbWcbvZS4NA5CY6vfcDpj,JLP/USDC
USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,Orca,dex,711944.538915297,1358065.22704303,HD8i7qr1hd9ida6sN71RbkLxbWcbvZS4NA5CY6vfcDpj,JLP/USDC
SOL,So11111111111111111111111111111111111111112,Orca,dex,704707.5390171488,1255650.20471086,B5EwJVDuAauzUEEdwvbuXzbFFgEYnUqqS37TUM1c4PQA,SOL/WBTC
WBTC,3NZ9JMVBmGAqocybic2c7LQCJScmgsAZ6vQqTDzcqmJh,Orca,dex,704707.5390171488,1255650.20471086,B5EwJVDuAauzUEEdwvbuXzbFFgEYnUqqS37TUM1c4PQA,SOL/WBTC
hyUSD,5YMkXAYccHSGnHn9nob9xEvv6Pvka9DZWH7nTbotTu9E,Orca,dex,670487.6778793712,515544.992764635,4tJW2axbTxtT6nKbjB5pZwePtW84cB7E1B6tdCCLGfrC,hyUSD/USDC
USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,Orca,dex,670487.6778793712,515544.992764635,4tJW2axbTxtT6nKbjB5pZwePtW84cB7E1B6tdCCLGfrC,hyUSD/USDC
cbBTC,cbbtcf3aa214zXHbiAZQwf4122FBYbraNdFqgw4iMij,Orca,dex,662057.0448670683,0.0,7wrbZ3oe5sZiFHvkSqD2xBvsLkctuJcpjsTUCeFxvRcp,cbBTC/FBTC
FBTC,3orqhCKM5admbcHkHQhRAEKbXhUT5VPgsQqz7fBa6QdF,Orca,dex,662057.0448670683,0.0,7wrbZ3oe5sZiFHvkSqD2xBvsLkctuJcpjsTUCeFxvRcp,cbBTC/FBTC
KMNO,KMNo3nJsBXfcpJTVhZcXLW7RmTwTt4GVFE7suUBo9sS,Orca,dex,550378.3304652374,370.318513247348,3ndjN1nJVUKGrJBc1hhVpER6kWTZKHdyDrPyCJyX3CXK,KMNO/USDC
USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,Orca,dex,550378.3304652374,370.318513247348,3ndjN1nJVUKGrJBc1hhVpER6kWTZKHdyDrPyCJyX3CXK,KMNO/USDC
USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,Orca,dex,526942.09430708,3764807.35787636,ArisQNcbjXPJD7RgPRvysatX3xcfHPTbcTkfD8kDoZ9i,USDC/EURC
EURC,HzwqbKZw8HxMN6bF2yFZNrht3c2iXXzpKcFu7uBEDKtr,Orca,dex,526942.09430708,3764807.35787636,ArisQNcbjXPJD7RgPRvysatX3xcfHPTbcTkfD8kDoZ9i,USDC/EURC
SOL,So11111111111111111111111111111111111111112,Orca,dex,473064.81974951626,785457.915460126,Ckp1kwZqosaLU1h3zWtuaMBubyWM7LX3cxYezRVin7p2,SOL/TRUMP
TRUMP,6p6xgHyF7AeE6TZkSmFsko444wqoP15icUSqi2jfGiPN,Orca,dex,473064.81974951626,785457.915460126,Ckp1kwZqosaLU1h3zWtuaMBubyWM7LX3cxYezRVin7p2,SOL/TRUMP
cbBTC,cbbtcf3aa214zXHbiAZQwf4122FBYbraNdFqgw4iMij,Orca,dex,441355.860815856,8541.55592892011,AUcNKrE8FySQPQX6VuKP3CJgQtUfsxzCrCA6NcmeYbyy,cbBTC/zenBTC
zenBTC,9hX59xHHnaZXLU6quvm5uGY2iDiT3jczaReHy6A6TYKw,Orca,dex,441355.860815856,8541.55592892011,AUcNKrE8FySQPQX6VuKP3CJgQtUfsxzCrCA6NcmeYbyy,cbBTC/zenBTC
SOL,So11111111111111111111111111111111111111112,Orca,dex,417683.525334049,9833.65834692886,3ne4mWqdYuNiYrYZC9TrA3FcfuFdErghH97vNPbjicr1,SOL/BONK
BONK,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,Orca,dex,417683.525334049,9833.65834692886,3ne4mWqdYuNiYrYZC9TrA3FcfuFdErghH97vNPbjicr1,SOL/BONK
NX8,NX8DuAWprqWAYDvpkkuhKnPfGRXQQhgiw85pCkgvFYk,Orca,dex,397460.1788187363,114481.781419241,3QyUNqr3u1BBXmPKAtcRTkN3Af5Mnk24yfaZDjL8n59H,NX8/USDC
USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,Orca,dex,397460.1788187363,114481.781419241,3QyUNqr3u1BBXmPKAtcRTkN3Af5Mnk24yfaZDjL8n59H,NX8/USDC
USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,Orca,dex,396465.24129050935,127052.049867032,4fuUiYxTQ6QCrdSq9ouBYcTM7bqSwYTSyLueGZLTy4T4,USDC/USDT
USDT,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,Orca,dex,396465.24129050935,127052.049867032,4fuUiYxTQ6QCrdSq9ouBYcTM7bqSwYTSyLueGZLTy4T4,USDC/USDT
JLP,27G8MtK7VtTcCHkpASjSDdkWWYfoqT6ggEuKidVJidD4,Orca,dex,330070.4548774029,237998.045031814,6NUiVmsNjsi4AfsMsEiaezsaV9N4N1ZrD4jEnuWNRvyb,JLP/USDC
USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,Orca,dex,330070.4548774029,237998.045031814,6NUiVmsNjsi4AfsMsEiaezsaV9N4N1ZrD4jEnuWNRvyb,JLP/USDC
cbBTC,cbbtcf3aa214zXHbiAZQwf4122FBYbraNdFqgw4iMij,Orca,dex,326710.90886587446,2274774.82578038,7XFiNgEcwiUUKw4GadjHv87kGSef3RKqh4TYmnkErtmB,cbBTC/JLP
JLP,27G8MtK7VtTcCHkpASjSDdkWWYfoqT6ggEuKidVJidD4,Orca,dex,326710.90886587446,2274774.82578038,7XFiNgEcwiUUKw4GadjHv87kGSef3RKqh4TYmnkErtmB,cbBTC/JLP
JTO,jtojtomepa8beP8AuQc6eXt5FriJwfFMwQx2v2f9mCL,Orca,dex,325847.44474606414,107451.092878918,G2FiE1yn9N9ZJx5e1E2LxxMnHvb1H3hCuHLPfKJ98smA,JTO/JitoSOL
JitoSOL,J1toso1uCk3RLmjorhTtrVwY9HJ7X8V9yYac6Y7kGCPn,Orca,dex,325847.44474606414,107451.092878918,G2FiE1yn9N9ZJx5e1E2LxxMnHvb1H3hCuHLPfKJ98smA,JTO/JitoSOL
SOL,So11111111111111111111111111111111111111112,Orca,dex,325698.5611727495,161697.710302018,KLkoFSdCpC523EmmGyJxmLv1A3itv8ZNiMZwjPmFXuk,SOL/BORG
BORG,3dQTr7ror2QPKQ3GbBCokJUmjErGg8kTJzdnYjNfvi3Z,Orca,dex,325698.5611727495,161697.710302018,KLkoFSdCpC523EmmGyJxmLv1A3itv8ZNiMZwjPmFXuk,SOL/BORG
