token_symbol,token_mint,protocol,venue_type,tvl_usd,volume_usd,pool_id,pool_name
PENGU,2zMMhcVQEXDtdE6vsFS7S7D5oUodfJHE8vd1gnBouauv,Kamino,lending,157811.78105981872,0.0,CZWSgQvX9UJVympc9YTLjc57RLx5EGvMT75WFtC3CUp7,PENGU (Altcoins Market)
USD1,USD1ttGY1N17NEEHLmELoaybftRBUSErhqYiQzvEmuB,Kamino,lending,141809.55286297773,0.0,FkxHU3rkkGQveuRQfRQwUpjciaGKZKn8U7z5BhU5xT1M,USD1 (Maple Market)
hubSOL,HUBsveNpjo5pWqNkH57QzxjQASdTVXcSK7bVKTSZtcSX,Kamino,lending,137140.63571764564,0.0,B5uYvxUcwX5fCB4msGU4DaHh8k6fsSkKHNboy94F9vbt,hubSOL (Main Market)
AAPLx,XsbEhLAtcf6HdfpFZ5xEMdqW8nfAvcsP5bdudRLJzJp,Kamino,lending,131757.54549086836,0.0,CKJbqakbPGyhziowm19LPYz636UszuezfkitmpRtcLSH,AAPLx (xStocks Market)
SOL,So11111111111111111111111111111111111111112,Kamino,lending,129413.24913173681,0.0,3Mf2mmocNbNAc7KS9QmANGEv9BcgwbT1tLRBuruGCdu5,SOL (Exponent PT-SOL Market)
kSOLBSOLOrca,9HB4kAMLSYfGFfN142DKMyPyHyZQ8pXF8M1STbDudodY,Kamino,lending,114010.98965715957,0.0,57U9pEC8NsWvHgWywd2xHTRkGQzWWYsWivxYRhtxZrLB,kSOLBSOLOrca (Main Market)
CASH,CASHx9KJUStyftLFWGvEVf59SGeG9sh5FfcnZMVPCASH,Kamino,lending,100780.509595,0.0,BAWiKPPxjSSurfurmkTBK1M3feeBKAUXAzyBzztz3svm,CASH (Superstate Opening Bell Market)
BONK,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,Kamino,lending,76240.50581642336,0.0,CEeGQ7SPaYd7Cdrrmom2pGjivtAyguzNkGPJUkZKZQXE,BONK (Bonk Market)
USDG,2u1tszSeqZ3qBWF3uNGPFc8TzMk2tdiwknnRMWGWjGWH,Kamino,lending,72176.77166958379,0.0,7hhG1B8G3XNRFZUNM8LrWRiSpAwNNyEx7hcAzpPuCGzh,USDG (JTO Market)
FDUSD,9zNQRsGLjNKwCUU5Gq5LR8beUCPzQMVMqKAi3SSZh54u,Kamino,lending,71154.86831375852,0.0,Bpc4kAh29J3YDQUMJJdGdr1zBAhTQjC48R1B8YTWudsi,FDUSD (Main Market)
USDG,2u1tszSeqZ3qBWF3uNGPFc8TzMk2tdiwknnRMWGWjGWH,Kamino,lending,66027.46532701896,0.0,AZJAPDubfJuqzSsdeWQS3EG44nQRpwmKDTG1SKHrEMVy,USDG (Bitcoin Market)
cdcSOL,CDCSoLckzozyktpAp9FWT3w92KFJVEUxAU7cNu2Jn3aX,Kamino,lending,63707.42627079674,0.0,FMbsZf4HuQ1a8a7VdmALT3S8WRfu3EocphRKPXxRsfGd,cdcSOL (Main Market)
bbSOL,Bybit2vBJGhPF52GBdNaQfUJ6ZpThSgHBobjWZpLPb4B,Kamino,lending,62920.38545797888,0.0,6U9CnJYCQwHUEmf4Pq4oGVKHVvD29wZvtPbFNjYmgjaF,bbSOL (Main Market)
bonkSOL,BonK1YhkXEGLZzwtcvRTip3gAL9nCeQD7ppZBLXhtTs,Kamino,lending,62478.126856200186,0.0,7fhqedVZMAEU6PxLv6ZRJsLd52UonkZbE8rATiZraCCJ,bonkSOL (Bonk Market)
USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,Kamino,lending,61149.75888608649,0.0,FZWgLGd8W19eoKZrmRsQPhEhAmyZCjr17NpM7HFCJqb6,USDC (JTO Market)
JUP,JUPyiwrYJFskUPiHa7hkeR8VUtAeFoSYbKedZNsDvCN,Kamino,lending,60784.50879844434,0.0,4AFAGAm5G8fkcKy7QerL88E7BiSE22ZRbvJzvaKjayor,JUP (Main Market)
kySOL,kySo1nETpsZE2NWe5vj2C64mPSciH1SppmHb4XieQ7B,Kamino,lending,59293.79230123369,0.0,4pDCUGYftuPG1sV3xcqsn2YGfHC6Q3eZVfDyzQm8SK5A,kySOL (Jito Market)
USDT,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,Kamino,lending,58172.66454860844,0.0,FCiu3ZDsyMQXEeLsa3k2P9NnaPtbX8w2RCG9aKL2dnJP,USDT (Fartcoin Market)
USDT,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,Kamino,lending,47029.66038713013,0.0,BjZ3HvRJHTNdQDxvJRCgR97Tsgv5ULZtywbiMmmTXycF,USDT (Bitcoin Market)
ALP,4yCLi5yWGzpTWMQ1iWHG5CrGYAdBkhyEdsuSugjDUqwj,Kamino,lending,36116.87497,0.0,D1ZdZSNfn6nfzEyK6uvFCcRi8SzihnPdYHLtnjBjwxGn,ALP (Adrena Market)
kSOLJITOSOLRaydium,GYiUmJ8reqYAdTQtx6CRFawHqPXx9yzkUFvaUVE8PskP,Kamino,lending,33608.72169488803,0.0,75WrtSz7rLCdBvAQhtHi8M2jC8HnpT8iUxcYkdeawr37,kSOLJITOSOLRaydium (Main Market)
HOODx,XsvNBAYkrDRNhA7wPHQfX3ZUXZyZLdnCQDfHZ56bzpg,Kamino,lending,27756.953898696,0.0,4UBJu5Xp1aziV9frBQBhc1RnKrgXHAWHYejQytkYr8gq,HOODx (xStocks Market)
SOL,So11111111111111111111111111111111111111112,Kamino,lending,26252.104368978464,0.0,6a4yWm6FZpvDDS3iyVj6dMficukGqtLqC2Po18LGmzqh,SOL (rstSOL/bbSOL Leverage Market)
kSOLMSOLRaydium,3Fb5DMRWoBLWD36Lp4BtG41LaFjVeEJNCH9YLNPYdVqj,Kamino,lending,26054.841941397946,0.0,FPAwg5jadDs8AvUtvtAbit2RCZdkZES6yY5X6nCSuEw9,kSOLMSOLRaydium (Main Market)
JTO,jtojtomepa8beP8AuQc6eXt5FriJwfFMwQx2v2f9mCL,Kamino,lending,25283.266949826026,0.0,9Ukd2MSw5RvVFaN8jLhWxjHLEGiF1F6Hf7v3Zq5hZsKB,JTO (Main Market)
bnSOL,BNso1VUJnh4zcfpZa6986Ea66P6TCp59hvtNJ8b1X85,Kamino,lending,25096.034632621722,0.0,Fqjbo3L4NAyzPcy6swv1XXLm1c7tUTKWMDkjCo9mfSDq,bnSOL (Main Market)
rstSOL,7qhJsFDPfx4v6eoo3461Um3oL4J8AE2hoB95aqMb7oxE,Kamino,lending,25042.13243690459,0.0,4cM1zywCaWg1nvBDjC6H8QiUCN5TUvycniqbBGQkRYue,rstSOL (rstSOL/bbSOL Leverage Market)
FLP,NUZ3FDWTtN5SP72BsefbsqpnbAY5oe21LE8bCSkqsEK,Kamino,lending,24417.36679309731,0.0,EBkpxYWNLY1T8mswutj55pxmkwj5urR1R8qUumqjx9mx,FLP (Flash Trade Market)
USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,Kamino,lending,22338.909030251685,0.0,GYaaVSmduEok8sZi4Le33PgGH8NH8SXbv9y9zHBEw4io,USDC (Zeus Bitcoin Market)
UXD,7kbnvuGBxxj8AG9qp8Scn56muWGaRaFqxg1FsRp3PaFT,Kamino,lending,18299.827128520043,0.0,GhGPbkWmPjSkbkgZbhNGBTxzwQKjqDpZwNfaf2gQKgdG,UXD (Main Market)
PT-fragSOL-31OCT25,Aby6y5DYtTrhQD8i7JXLs4H3jdUTwSXDraYqnwn5tKbt,Kamino,lending,16456.726694906636,0.0,DidQ9f4FQg1snFjEjNUdidSbyz1ixsmRZqBWKfqDzUoS,PT-fragSOL-31OCT25 (Exponent PT-SOL Market)
FDUSD,9zNQRsGLjNKwCUU5Gq5LR8beUCPzQMVMqKAi3SSZh54u,Kamino,lending,16244.637836453696,0.0,49cZPa2n82GwaiFtBsX6MxGLg8ZV5eh2VcX7qsHFwDe2,FDUSD (Zeus Bitcoin Market)
PYUSD,2b1kV6DkPAnxd5ixfnxCpjxmKwqjjaYmCZfHsFu24GXo,Kamino,lending,16115.481079114139,0.0,D4c6nsTRjD2Kv7kYEUjtXiw72YKP8a1XHd33g38UpaV8,PYUSD (Altcoins Market)
PUMP,pumpCmXqMfrsAkQ5r49WcJnRayYRqmXz6ae8H7H9Dfn,Kamino,lending,13453.738425414971,0.0,BQoJXkYHjA8szR6ncD3TptUzoSZXR7aeWqKwfWVehRXX,PUMP (PUMP Market)
USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,Kamino,lending,13149.275807916725,0.0,2187ciVuR8fScuGkQYJBtgTjgXFjdKNefafxUSvHjh2T,USDC (Bonk Market)
JUP,JUPyiwrYJFskUPiHa7hkeR8VUtAeFoSYbKedZNsDvCN,Kamino,lending,11997.25864824671,0.0,Au5Bn2tzz8pQGZX2beFZhikqakTYfj5Kz7rGinCCu3Km,JUP (Jupiter Market)
