token_symbol,token_mint,protocol,venue_type,tvl_usd,volume_usd,pool_id,pool_name
USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,Meteora,dex,802692.2101138702,10648514.482895624,5rCf1DM8LjKTw4YqhnoLcngyZYeNnQqztScTogYHAS6,SOL-USDC
USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,Meteora,dex,715577.8207149066,4046987.464222744,7ubS3GccjhQY99AYNKXjNJqnXjaokEdfdV915xnCb96r,cbBTC-USDC
cbBTC,cbbtcf3aa214zXHbiAZQwf4122FBYbraNdFqgw4iMij,Meteora,dex,715577.8207149066,4046987.464222744,7ubS3GccjhQY99AYNKXjNJqnXjaokEdfdV915xnCb96r,cbBTC-USDC
SOL,So11111111111111111111111111111111111111112,Meteora,dex,667837.6974801013,954436.067636454,HbjYfcWZBjCBYTJpZkLGxqArVmZVu3mQcRudb6Wg1sVh,PUMP-SOL
PUMP,pumpCmXqMfrsAkQ5r49WcJnRayYRqmXz6ae8H7H9Dfn,Meteora,dex,667837.6974801013,954436.067636454,HbjYfcWZBjCBYTJpZkLGxqArVmZVu3mQcRudb6Wg1sVh,PUMP-SOL
CLOUD,CLoUDKc4Ane7HeQcPpE3YHnznRxhMimJ4MyaUqyHFzAu,Meteora,dex,653665.2332256722,15353.41609834963,F1KKNyUCsQcZLRjwQ4abX6Ri8gDAQ46nHwSHFKA5sFQv,USDC-CLOUD
USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,Meteora,dex,653665.2332256722,15353.41609834963,F1KKNyUCsQcZLRjwQ4abX6Ri8gDAQ46nHwSHFKA5sFQv,USDC-CLOUD
JUP,JUPyiwrYJFskUPiHa7hkeR8VUtAeFoSYbKedZNsDvCN,Meteora,dex,581593.9564395783,1120542.6282674442,C8Gr6AUuq9hEdSYJzoEpNcdjpojPZwqG5MtQbeouNNwg,JUP-SOL
SOL,So11111111111111111111111111111111111111112,Meteora,dex,581593.9564395783,1120542.6282674442,C8Gr6AUuq9hEdSYJzoEpNcdjpojPZwqG5MtQbeouNNwg,JUP-SOL
USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,Meteora,dex,549255.498709334,618094.1665197362,ANCx141SujgVdbKz9NTEH8F38qWsnyyXsVju64aU3qLB,HYPE-USDC
HYPE,98sMhvDwXj1RQi5c5Mndm3vPe9cBqPrbLaufMXFNMh5g,Meteora,dex,549255.498709334,618094.1665197362,ANCx141SujgVdbKz9NTEH8F38qWsnyyXsVju64aU3qLB,HYPE-USDC
USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,Meteora,dex,525255.4112230135,36094.81498325232,DmXXwEcK2c7fuVoW6TBzF5UDByhuQBHZS1qHnwprvHFH,USDv-USDC
USDv,Ex5DaKYMCN6QWFA4n67TmMwsH8MJV68RX6YXTmVM532C,Meteora,dex,525255.4112230135,36094.81498325232,DmXXwEcK2c7fuVoW6TBzF5UDByhuQBHZS1qHnwprvHFH,USDv-USDC
USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,Meteora,dex,447099.23566057166,957965.2684424984,CgqwPLSFfht89pF5RSKGUUMFj5zRxoUt4861w2SkXaqY,SOL-USDC
SOL,So11111111111111111111111111111111111111112,Meteora,dex,447099.23566057166,957965.2684424984,CgqwPLSFfht89pF5RSKGUUMFj5zRxoUt4861w2SkXaqY,SOL-USDC
MET,METvsvVRapdj9cFLzq4Tr43xK4tAjQfwX76z3n6mWQL,Meteora,dex,399085.60099399375,738651.3006277452,5hbf9JP8k5zdrZp9pokPypFQoBse5mGCmW6nqodurGcd,MET-USDC
USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,Meteora,dex,399085.60099399375,738651.3006277452,5hbf9JP8k5zdrZp9pokPypFQoBse5mGCmW6nqodurGcd,MET-USDC
USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,Meteora,dex,391423.22825369885,219352.37436231325,HhABC2WjgUq6xYUSA92diUuQ8A9rxoXaWbN38KQkhZSt,ANTHROPIC-USDC
ANTHROPIC,Pren1FvFX6J3E4kXhJuCiAD5aDmGEb7qJRncwA8Lkhw,Meteora,dex,391423.22825369885,219352.37436231325,HhABC2WjgUq6xYUSA92diUuQ8A9rxoXaWbN38KQkhZSt,ANTHROPIC-USDC
SOL,So11111111111111111111111111111111111111112,Meteora,dex,357319.0879921266,6048940.30180712,HTvjzsfX3yU6BUodCjZ5vZkUrAxMDTrBs3CJaq43ashR,SOL-USDC
USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,Meteora,dex,357319.0879921266,6048940.30180712,HTvjzsfX3yU6BUodCjZ5vZkUrAxMDTrBs3CJaq43ashR,SOL-USDC
PUMP,pumpCmXqMfrsAkQ5r49WcJnRayYRqmXz6ae8H7H9Dfn,Meteora,dex,316969.12962193904,25190.71810143977,9SMp4yLKGtW9TnLimfVPkDARsyNSfJw43WMke4r7KoZj,PUMP-USDC
USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,Meteora,dex,316969.12962193904,25190.71810143977,9SMp4yLKGtW9TnLimfVPkDARsyNSfJw43WMke4r7KoZj,PUMP-USDC
tSpaceX,TSPXcLV76s6V2zDiZQ18kBfcbnjaE2ZzNT3ga2Pd99v,Meteora,dex,306685.2714058242,285631.7149610065,8obGpjiUu7QTJHK58YHCoz5HxobmrVP2x5zpMZu3c4BT,tSpaceX-USDC
USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,Meteora,dex,306685.2714058242,285631.7149610065,8obGpjiUu7QTJHK58YHCoz5HxobmrVP2x5zpMZu3c4BT,tSpaceX-USDC
GOLD,GoLDppdjB1vDTPSGxyMJFqdnj134yH6Prg9eqsGDiw6A,Meteora,dex,301062.651337805,150954.51990104385,3Vj8miZuTSdonf4W1xLdYFatrXLm38CShrCi7NbZS5Ah,GOLD-USDC
USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,Meteora,dex,301062.651337805,150954.51990104385,3Vj8miZuTSdonf4W1xLdYFatrXLm38CShrCi7NbZS5Ah,GOLD-USDC
SOL,So11111111111111111111111111111111111111112,Meteora,dex,298507.23620008136,286610.8914421997,H2USRSaWuUchkbdmSJgKNfAm7ocyD4ZnCm69oRGyecKw,cbBTC-SOL
cbBTC,cbbtcf3aa214zXHbiAZQwf4122FBYbraNdFqgw4iMij,Meteora,dex,298507.23620008136,286610.8914421997,H2USRSaWuUchkbdmSJgKNfAm7ocyD4ZnCm69oRGyecKw,cbBTC-SOL
WBTC,3NZ9JMVBmGAqocybic2c7LQCJScmgsAZ6vQqTDzcqmJh,Meteora,dex,282035.2761694287,1017555.3652477649,53oyyjgybx6dH7i5aGeKfBUi3xPJQDeBkaENPri57x2H,cbBTC-WBTC
cbBTC,cbbtcf3aa214zXHbiAZQwf4122FBYbraNdFqgw4iMij,Meteora,dex,282035.2761694287,1017555.3652477649,53oyyjgybx6dH7i5aGeKfBUi3xPJQDeBkaENPri57x2H,cbBTC-WBTC
